120449,12373,242
14110,1700,461
681,2848,129
436,1409,106
442,1567,85
100,797,19
345,676,169
544,3771,37
1226,5662,572
1723,14349,459
81901,2789,157
349,1693,33
521,2279,181
490,2725,125
6946,4489,182
786,10933,173
4353,1459,139
391,3309,34
613,5651,34
88,602,20
668,3931,21
1555,6172,310
750,2148,226
81,442,16
27973,24637,614
203,2399,3
2746741,4098,136
5364,43555,1287
767,3920,362
172,27,174
1474,10114,508
521,2279,181
101,296,52
446,2692,49
569,2794,250
9236,14432,132
523,1447,326
1787,8351,660
290,1064,124
2470,7706,1309
535,866,97
1076,5356,471
1648,6902,833
565,2989,178
453,2441,109
36,22,33
294,829,156
919,2819,446
502,1908,203
429,3741,86
2343,2362,1977
739,6740,89
939,3383,246
642,3548,65
73,1419,45
614,3071,50
42,124,30
50759,13727,1379
602,1899,170
1346,4732,567
41,249,26
4546,15758,1433
56386,6321,477
1134,5887,471
19646,8903,0
433,1274,228
157881,2220,4805
7453,20624,4524
2545,3460,1666
1433,3559,863
147,829,12
440,1455,207
1740,7214,807
3167,19702,1122
180705,30113,289
1135,3880,478
516,4510,58
1346,6589,394
1483,5805,363
3046,5080,57
6772,12465,1393
1796,5235,200
5997,8522,5165
656,3311,119
1416,4184,570
3141,406,867
454,1605,185
24,100,13
53943,724,335
329,1088,182
290,812,173
1506,2960,1161
468,1743,156
1936,6614,1058
6877,4491,6171
6343,16190,3753
539,1998,204
334,339,316
583,2111,211
3467,6529,974
4401,23157,2620
79,23,18
7565,9806,1789
923,7505,296
1932,13238,1115
163,27,433
1720,6806,718
1520,9492,223
974,4324,220
718,6278,92
1017,7194,55
546,1504,240
74917,8982,540
955,4010,393
2191,9459,801
926,2394,489
357,1379,137
106731,33965,329
7627,161,359
1257,6488,341
405,993,217
2133,10256,1133
93439,195,226
3399,10918,121
98,139,47
625,1482,236
567,2999,133
22,39,11
2537,10161,19
1238,4034,677
3381,9830,5
454,1351,202
1512,12543,124
1060,2345,23
2492,13981,176
235,56,213
512,1959,297
869,6397,136
866,9061,40
782,7263,122
697,7035,65
252,1522,113
487,7173,14
2024,10072,648
202,691,21737
1403,16940,129
865,6772,272
1362,8474,268
2651,8100,1465
2313,9706,983
534,3011,84
2651,8100,1465
960,2452,494
3221,30290,335
147153,22723,646
2536,20876,745
732,7083,128
1627,7166,313
7797,9475,1713
3001,23868,559
499,2662,45
2290,10560,301
287,1524,41
143,753,53
43,328,3
1598,15064,76
1050,4815,329
207,965,61
626,3094,182
483,1811,169
1243,4986,1241
548,2084,302
499,1090,44
591,3239,169
632,3948,103
2163,13917,770
482,1852,223
1283,2437,8
597,4047,91
2865,26,262
799,5413,64
22251,14769,529
1875,9676,391
418,5303,36
1018,7892,135
5854,28279,107
995,7141,126
2980,5334,44
1204,6045,523
2729,23014,5
682,2879,203
1637,40509,190
1180,6807,238
1115,8374,184
2010,3542,158
79,52,28
1375,7678,341
47581,703,59
61846,23565,436
1789,6833,399
1162,3648,20
1956,7738,550
607,2159,185
2885,3692,53
1104,3402,332
1970,18525,229
1649,11247,201
44,152,23
157,1131,23
133,479,0
12,24,0
62,423,6
95,430,41
1496,9879,425
1094,15339,130
190,1190,37
1235,11902,169
20,56,5
406,3003,143
916,9610,166
223,1414,72
15,24,4
309,1936,69
1088,2876,135
1159,10556,56
200,90,74
5558,29352,254
2293,8005,1068
161,1922,23
1072,5221,512
1645,12013,307
19453,69,31
399,2911,77
587,1736,271
951,3325,566
234,545,112
752,2145,328
651,2042,232
4766,3778,1085
992,5672,78
781,2659,326
1715,1193,696
4800,6300,3593
746,3240,216
768,3234,232
199,1469,21
6538,16511,52
55,76,110
4011,11434,419
101303,18948,122
1401,5846,1375
1442,6587,410
880,4644,254
68,105,56
42,76,36
49509,3278,208
2855,1126,312
131,279,104
59,1126,28
731,3707,382
278,289,191
313,151,260
15911,24976,11839
1158,7031,114
212,1278,25
947323,14039,26
288,497,168
29,207,0
177767,4103,7
397,2792,35
8570,962,1507
604693,20720,203
9,33,0
82563,18336,54
2185,9724,548
299411,26958,12361
658,2468,271
340,1670,119
368205,37,148
51,89,54
75,60,58
34968,12408,1892
1441,13728,308
288,1651,108
87,1758,22
75,200,27
57,94,48
1120,5681,299
105,2102,65
53,1932,32
32,292,13
970,3756,376
23,1003,11
53,1179,40
97,865,52
1210,4858,464
857,4242,151
236796,2211,139
1926,8352,634
90019,11060,204
1452,6672,490
176,425,116
38391,3078,116
624,2576,247
113,1106,2301
2683,13402,1030
1088,11478,49
2368,12448,558
557,2274,169
1346,11639,248
2425,11709,727
4342,10732,550
526,1005,293
217,22,218
4761,4778,840
2799,12170,432
1623,9619,420
4897,16328,1624
1589,6155,477
738,5081,42
1477,10278,289
3727,27003,980
856,2128,198
89,176,37
4674,6815,3105
1695,8077,8
73571,15261,293
2474,8226,709
57060,3207,346
522,2471,43
488,2057,171
2798,5850,483
6040,11125,2406
3064,5496,344
1672,7978,58
423,1421,159
572,2927,63
4820,178,1
2710,889,31
1261,4359,427
55499,28089,25396
605,3270,50
471,2128,263
1439,9995,328
